iter	Passed	Remaining
637	7054	4002
638	7066	3992
639	7077	3981
640	7089	3970
641	7100	3959
642	7110	3947
643	7120	3936
644	7131	3925
645	7148	3917
646	7161	3907
647	7175	3897
648	7187	3887
649	7199	3876
650	7213	3866
651	7225	3856
652	7235	3845
653	7247	3834
654	7258	3823
655	7269	3811
656	7282	3802
657	7295	3792
658	7306	3780
659	7317	3769
660	7327	3758
661	7338	3747
662	7350	3736
663	7361	3725
664	7371	3713
665	7382	3702
666	7394	3691
667	7405	3680
668	7416	3669
669	7427	3658
670	7439	3647
671	7450	3636
672	7461	3625
673	7471	3613
674	7482	3602
675	7495	3592
676	7506	3581
677	7517	3570
678	7527	3558
679	7538	3547
680	7550	3536
681	7561	3525
682	7571	3514
683	7582	3503
684	7594	3492
685	7605	3481
686	7617	3470
687	7628	3459
688	7641	3449
689	7653	3438
690	7667	3428
691	7678	3417
692	7689	3406
693	7702	3396
694	7714	3385
695	7724	3374
696	7735	3362
697	7746	3351
698	7757	3340
699	7768	3329
700	7779	3318
701	7789	3306
702	7800	3295
703	7811	3284
704	7821	3272
705	7831	3261
706	7843	3250
707	7853	3239
708	7864	3227
709	7875	3216
710	7886	3205
711	7898	3194
712	7910	3184
713	7922	3173
714	7932	3161
715	7943	3150
716	7954	3139
717	7965	3128
718	7976	3117
719	7988	3106
720	7999	3095
721	8009	3084
722	8021	3073
723	8032	3062
724	8044	3051
725	8056	3040
726	8068	3029
727	8078	3018
728	8089	3007
729	8101	2996
730	8112	2985
731	8122	2973
732	8133	2962
733	8146	2952
734	8156	2940
735	8167	2929
736	8178	2918
737	8189	2907
738	8199	2896
739	8211	2885
740	8221	2873
741	8232	2862
742	8243	2851
743	8254	2840
744	8266	2829
745	8277	2818
746	8288	2807
747	8299	2796
748	8310	2785
749	8321	2773
750	8332	2762
751	8343	2751
752	8353	2740
753	8364	2729
754	8375	2717
755	8386	2706
756	8397	2695
757	8408	2684
758	8418	2673
759	8429	2661
760	8441	2651
761	8455	2640
762	8466	2629
763	8478	2619
764	8489	2607
765	8501	2597
766	8512	2585
767	8523	2574
768	8534	2563
769	8546	2552
770	8557	2541
771	8568	2530
772	8579	2519
773	8590	2508
774	8602	2497
775	8613	2486
776	8624	2475
777	8635	2464
778	8647	2453
779	8657	2441
780	8670	2431
781	8681	2420
782	8692	2409
783	8703	2397
784	8714	2386
785	8725	2375
786	8736	2364
787	8747	2353
788	8757	2342
789	8770	2331
790	8781	2320
791	8792	2309
792	8803	2297
793	8814	2286
794	8825	2275
795	8837	2264
796	8848	2253
797	8859	2242
798	8871	2231
799	8881	2220
800	8892	2209
801	8904	2198
802	8915	2187
803	8925	2175
804	8936	2164
805	8947	2153
806	8957	2142
807	8969	2131
808	8980	2120
809	8992	2109
810	9003	2098
811	9014	2087
812	9025	2075
813	9037	2064
814	9047	2053
815	9058	2042
816	9070	2031
817	9080	2020
818	9091	2009
819	9101	1997
820	9112	1986
821	9123	1975
822	9134	1964
823	9145	1953
824	9156	1942
825	9166	1931
826	9177	1919
827	9188	1908
828	9198	1897
829	9209	1886
830	9220	1875
831	9232	1864
832	9242	1852
833	9253	1841
834	9265	1830
835	9276	1819
836	9286	1808
837	9297	1797
838	9307	1786
839	9318	1774
840	9328	1763
841	9340	1752
842	9351	1741
843	9363	1730
844	9375	1719
845	9386	1708
